	chr	start	end	gene_id
ENSG00000223972	1	11868	11869	ENSG00000223972
ENSG00000278267	1	17435	17436	ENSG00000278267
ENSG00000243485	1	29553	29554	ENSG00000243485
ENSG00000227232	1	29569	29570	ENSG00000227232
ENSG00000284332	1	30365	30366	ENSG00000284332
ENSG00000237613	1	36080	36081	ENSG00000237613
ENSG00000268020	1	52472	52473	ENSG00000268020
ENSG00000240361	1	57597	57598	ENSG00000240361
ENSG00000186092	1	65418	65419	ENSG00000186092
ENSG00000239945	1	91104	91105	ENSG00000239945
ENSG00000233750	1	131024	131025	ENSG00000233750
ENSG00000238009	1	133722	133723	ENSG00000238009
ENSG00000268903	1	135894	135895	ENSG00000268903
ENSG00000269981	1	137964	137965	ENSG00000269981
ENSG00000239906	1	140338	140339	ENSG00000239906
ENSG00000222623	1	157886	157887	ENSG00000222623
ENSG00000241599	1	160445	160446	ENSG00000241599
ENSG00000241860	1	173861	173862	ENSG00000241860
ENSG00000279928	1	182695	182696	ENSG00000279928
ENSG00000273874	1	187957	187958	ENSG00000273874
ENSG00000279457	1	195410	195411	ENSG00000279457
ENSG00000236679	1	348365	348366	ENSG00000236679
ENSG00000236601	1	358856	358857	ENSG00000236601
ENSG00000228463	1	359680	359681	ENSG00000228463
ENSG00000269732	1	439869	439870	ENSG00000269732
ENSG00000284733	1	451696	451697	ENSG00000284733
ENSG00000233653	1	487100	487101	ENSG00000233653
ENSG00000250575	1	493240	493241	ENSG00000250575
ENSG00000278757	1	516478	516479	ENSG00000278757
ENSG00000237094	1	522927	522928	ENSG00000237094
ENSG00000235146	1	587628	587629	ENSG00000235146
ENSG00000225972	1	629061	629062	ENSG00000225972
ENSG00000225630	1	629639	629640	ENSG00000225630
ENSG00000237973	1	631073	631074	ENSG00000237973
ENSG00000278791	1	632412	632413	ENSG00000278791
ENSG00000229344	1	632756	632757	ENSG00000229344
ENSG00000240409	1	633534	633535	ENSG00000240409
ENSG00000248527	1	633695	633696	ENSG00000248527
ENSG00000198744	1	634375	634376	ENSG00000198744
ENSG00000268663	1	674841	674842	ENSG00000268663
ENSG00000284662	1	686672	686673	ENSG00000284662
ENSG00000229376	1	722091	722092	ENSG00000229376
ENSG00000223181	1	758335	758336	ENSG00000223181
ENSG00000229905	1	760910	760911	ENSG00000229905
ENSG00000228327	1	778625	778626	ENSG00000228327
ENSG00000237491	1	778769	778770	ENSG00000237491
ENSG00000285268	1	781936	781937	ENSG00000285268
ENSG00000177757	1	817370	817371	ENSG00000177757
ENSG00000230092	1	817711	817712	ENSG00000230092
ENSG00000228794	1	825137	825138	ENSG00000228794
ENSG00000225880	1	827521	827522	ENSG00000225880
ENSG00000230021	1	827795	827796	ENSG00000230021
ENSG00000234711	1	873291	873292	ENSG00000234711
ENSG00000230368	1	876902	876903	ENSG00000230368
ENSG00000283040	1	877233	877234	ENSG00000283040
ENSG00000272438	1	904833	904834	ENSG00000272438
ENSG00000230699	1	911434	911435	ENSG00000230699
ENSG00000241180	1	914170	914171	ENSG00000241180
ENSG00000223764	1	921015	921016	ENSG00000223764
ENSG00000187634	1	923927	923928	ENSG00000187634
ENSG00000188976	1	959308	959309	ENSG00000188976
ENSG00000187961	1	960583	960584	ENSG00000187961
ENSG00000187583	1	966496	966497	ENSG00000187583
ENSG00000187642	1	982092	982093	ENSG00000187642
ENSG00000272512	1	998050	998051	ENSG00000272512
ENSG00000188290	1	1000171	1000172	ENSG00000188290
ENSG00000187608	1	1001137	1001138	ENSG00000187608
ENSG00000231702	1	1008228	1008229	ENSG00000231702
ENSG00000224969	1	1013192	1013193	ENSG00000224969
ENSG00000188157	1	1020119	1020120	ENSG00000188157
ENSG00000242590	1	1055032	1055033	ENSG00000242590
ENSG00000217801	1	1059707	1059708	ENSG00000217801
ENSG00000273443	1	1063287	1063288	ENSG00000273443
ENSG00000237330	1	1074305	1074306	ENSG00000237330
ENSG00000285812	1	1097584	1097585	ENSG00000285812
ENSG00000131591	1	1116360	1116361	ENSG00000131591
ENSG00000223823	1	1137016	1137017	ENSG00000223823
ENSG00000207730	1	1167103	1167104	ENSG00000207730
ENSG00000207607	1	1167862	1167863	ENSG00000207607
ENSG00000198976	1	1169004	1169005	ENSG00000198976
ENSG00000272141	1	1169356	1169357	ENSG00000272141
ENSG00000162571	1	1173883	1173884	ENSG00000162571
ENSG00000205231	1	1179554	1179555	ENSG00000205231
ENSG00000186891	1	1206591	1206592	ENSG00000186891
ENSG00000186827	1	1214152	1214153	ENSG00000186827
ENSG00000078808	1	1232030	1232031	ENSG00000078808
ENSG00000176022	1	1232225	1232226	ENSG00000176022
ENSG00000184163	1	1246721	1246722	ENSG00000184163
ENSG00000260179	1	1251333	1251334	ENSG00000260179
ENSG00000160087	1	1273884	1273885	ENSG00000160087
ENSG00000230415	1	1275222	1275223	ENSG00000230415
ENSG00000162572	1	1280435	1280436	ENSG00000162572
ENSG00000278073	1	1296169	1296170	ENSG00000278073
ENSG00000169972	1	1308596	1308597	ENSG00000169972
ENSG00000131584	1	1309608	1309609	ENSG00000131584
ENSG00000283712	1	1312565	1312566	ENSG00000283712
ENSG00000240731	1	1318688	1318689	ENSG00000240731
ENSG00000127054	1	1324690	1324691	ENSG00000127054
ENSG00000224051	1	1324755	1324756	ENSG00000224051
ENSG00000169962	1	1331279	1331280	ENSG00000169962
ENSG00000284372	1	1339707	1339708	ENSG00000284372
ENSG00000107404	1	1349417	1349418	ENSG00000107404
ENSG00000162576	1	1361776	1361777	ENSG00000162576
ENSG00000175756	1	1375494	1375495	ENSG00000175756
ENSG00000223663	1	1378665	1378666	ENSG00000223663
ENSG00000221978	1	1399334	1399335	ENSG00000221978
ENSG00000224870	1	1399521	1399522	ENSG00000224870
ENSG00000264293	1	1405751	1405752	ENSG00000264293
ENSG00000242485	1	1407292	1407293	ENSG00000242485
ENSG00000272455	1	1409095	1409096	ENSG00000272455
ENSG00000225905	1	1420244	1420245	ENSG00000225905
ENSG00000235098	1	1421768	1421769	ENSG00000235098
ENSG00000205116	1	1426127	1426128	ENSG00000205116
ENSG00000225285	1	1434572	1434573	ENSG00000225285
